Model,Modal,MSE,MAE
GPINet,Uni,0.7676125764846802,0.5821837782859802
GPINet,Multi,0.768405020236969,0.5837623476982117
tPatchGNN,Uni,0.7568777799606323,0.570701003074646
tPatchGNN,Multi,0.7644700407981873,0.5746762752532959
DLinear,Uni,0.7906010150909424,0.5929598212242126
DLinear,Multi,0.8070080876350403,0.6186162829399109
PatchTST,Uni,1.028739094734192,0.730330765247345
PatchTST,Multi,1.0513193607330322,0.7440634369850159
Informer,Uni,0.8853021264076233,0.5686423182487488
Informer,Multi,0.7640893459320068,0.5905265212059021
TimesNet,Uni,1.029666543006897,0.7288040518760681
TimesNet,Multi,1.1165975332260132,0.7726710438728333
TimeMixer,Uni,0.9180240631103516,0.5801546573638916
TimeMixer,Multi,0.8087023496627808,0.6008259057998657
TimeLLM,Uni,0.8010570406913757,0.5480777621269226
TimeLLM,Multi,0.7505208849906921,0.5770581960678101
TTM,Uni,0.9678124785423279,0.6940600275993347
TTM,Multi,1.0214331150054932,0.7223584651947021
